timestamp,x,y
1737953362.757673,298,179
1737953362.759339,380,182
1737953362.7602108,295,179
1737953362.8263938,380,182
1737953362.8273938,298,179
1737953362.9150805,380,182
1737953362.9163194,298,177
1737953362.917266,297,178
1737953362.9645226,380,182
1737953362.9645226,298,178
1737953362.9697313,380,182
1737953363.0511425,380,182
1737953363.0520365,298,177
1737953363.0933673,377,187
1737953363.1490076,376,187
1737953363.191005,272,131
1737953363.272656,380,185
1737953363.3549833,379,183
1737953363.3560658,293,180
1737953363.4256668,378,183
1737953363.4266636,293,179
1737953363.479467,380,183
1737953363.479467,294,179
1737953363.529253,381,183
1737953363.529253,298,179
1737953363.5935106,381,181
1737953363.594515,299,179
1737953363.6592157,381,182
1737953363.6600637,299,179
1737953363.661078,295,179
1737953363.748248,381,183
1737953363.7492473,298,177
1737953363.79429,298,177
1737953363.7952957,381,182
1737953363.862199,298,177
1737953363.8632042,381,182
1737953363.925546,381,181
1737953363.9264362,298,176
1737953363.9914937,381,181
1737953363.9914937,298,176
1737953364.0701141,381,180
1737953364.0702622,299,176
1737953364.129798,299,176
1737953364.1308258,381,180
1737953364.1796584,381,180
1737953364.180767,299,176
1737953364.2316022,299,176
1737953364.2325282,381,180
1737953364.2336042,299,176
1737953364.2846313,299,176
1737953364.2856174,381,180
1737953364.2865129,299,176
1737953364.3541727,382,182
1737953364.355168,299,176
1737953364.4214706,383,182
1737953364.4224715,300,176
1737953364.5413501,382,180
1737953364.5413501,300,177
1737953364.5994744,382,181
1737953364.5994744,299,177
1737953364.6715837,299,177
1737953364.672547,382,181
1737953364.7471457,382,181
1737953364.7481651,299,178
1737953364.795453,299,178
1737953364.7965655,382,181
1737953364.8579397,382,183
1737953364.8579998,299,178
1737953364.918197,383,183
1737953364.920193,300,178
1737953364.9993193,384,183
1737953365.002953,267,140
1737953365.0039754,300,178
1737953365.0739517,384,183
1737953365.0791323,301,177
1737953365.12958,384,183
1737953365.12958,301,177
1737953365.1807518,301,177
1737953365.1817544,384,183
1737953365.2447946,301,177
1737953365.2456965,384,183
1737953365.30927,301,177
1737953365.3100607,384,183
1737953365.3807256,384,182
1737953365.381714,301,177
1737953365.4298246,384,182
1737953365.4308405,301,177
1737953365.5053508,385,183
1737953365.5072408,301,177
1737953365.5694118,379,182
1737953365.5694118,297,178
1737953365.5694118,379,181
1737953365.6362724,293,178
1737953365.6362724,378,182
1737953365.6376352,292,177
1737953365.7292032,292,178
1737953365.7292032,378,181
1737953365.7897716,292,178
1737953365.7897716,378,181
1737953365.8732295,378,181
1737953365.8732295,292,178
1737953365.926176,295,181
1737953365.9272265,378,184
1737953365.9819655,379,183
1737953365.9829621,293,180
1737953366.0271134,378,183
1737953366.0280313,293,179
1737953366.0290093,292,179
1737953366.0962298,379,182
1737953366.0972338,293,179
1737953366.1593509,381,182
1737953366.1593509,299,179
1737953366.2142224,299,179
1737953366.2152188,381,182
1737953366.2152188,299,180
1737953366.2780945,381,183
1737953366.2789881,299,179
1737953366.3441112,299,179
1737953366.3451092,382,181
1737953366.4091496,299,179
1737953366.4091496,381,183
1737953366.4992166,381,183
1737953366.4997625,299,178
1737953366.5518804,299,177
1737953366.5518804,381,182
1737953366.5530276,298,178
1737953366.6257691,381,182
1737953366.62687,299,177
1737953366.627822,298,178
1737953366.6892118,381,182
1737953366.6902244,299,177
1737953366.6912324,298,178
1737953366.7440758,381,182
1737953366.7440758,299,177
1737953366.7440758,298,178
1737953366.8292868,381,183
1737953366.834365,295,179
1737953366.886796,381,183
1737953366.8878176,299,179
1737953366.8895671,296,179
1737953366.9556575,381,184
1737953366.9566185,299,179
1737953367.0094886,299,177
1737953367.0094886,381,182
1737953367.0974529,299,177
1737953367.0991604,381,181
1737953367.0999832,298,177
1737953367.1564069,298,176
1737953367.1564069,381,180
1737953367.2265713,298,176
1737953367.2275722,381,180
1737953367.2289774,298,176
1737953367.2791977,381,180
1737953367.286824,298,176
1737953367.337263,298,176
1737953367.3391385,381,180
1737953367.4207413,298,176
1737953367.4217472,382,182
1737953367.4944553,381,180
1737953367.4944553,298,176
1737953367.5751927,382,181
1737953367.5751927,299,177
1737953367.5751927,299,177
1737953367.6441903,299,177
1737953367.6441903,382,181
1737953367.7202363,298,178
1737953367.7209504,381,182
1737953367.7209504,298,178
1737953367.7794716,380,182
1737953367.7794716,298,178
1737953367.851845,380,181
1737953367.8595052,298,176
1737953367.9106963,299,176
1737953367.9116924,382,181
1737953367.9831567,382,180
1737953367.984063,299,176
1737953368.0658987,382,181
1737953368.0669072,299,176
1737953368.123855,297,176
1737953368.123855,380,180
1737953368.1900165,298,176
1737953368.1900165,380,180
1737953368.1900165,297,176
1737953368.2494762,297,175
1737953368.2531505,380,180
1737953368.304067,297,175
1737953368.3060732,380,180
1737953368.3880138,297,174
1737953368.3880138,380,179
1737953368.389791,297,174
1737953368.47077,380,179
1737953368.471791,297,175
1737953368.559623,380,180
1737953368.5607672,297,176
1737953368.6143994,380,180
1737953368.6143994,297,176
1737953368.699298,380,180
1737953368.7031054,297,175
